bedrooms,bathrooms,land_size_p,floor_area_sqft,storeys,district_enc,district_tier,colombo_premium,property_type_enc,negotiable,has_parking,has_pool,has_garden,has_furnished,has_ac,has_security,has_water,has_highway,has_generator,has_solar,log_price,price_lkr
5.0,3.0,19.7,2600.0,2.0,5,2,0,0,1,1,0,0,0,0,0,0,1,0,0,17.50188690692275,39900000.0
5.0,4.0,7.8,2970.0,2.0,3,1,0,0,1,1,0,0,0,0,1,0,0,0,0,17.61099976960838,44500000.0
5.0,4.0,10.0,5100.0,2.0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,18.184958423089522,79000000.0
4.0,4.0,9.0,3200.0,2.0,3,1,0,0,1,1,1,0,0,0,1,0,0,0,0,17.6762402900575,47500000.0
3.0,1.0,10.5,1300.0,2.0,5,2,0,0,1,1,0,0,0,0,0,0,1,0,0,16.118095750958314,10000000.0
3.0,2.0,6.75,1394.0,1.0,3,1,0,0,1,1,0,1,0,1,0,0,1,0,0,16.588099342704055,16000000.0
6.0,5.0,6.75,3500.0,2.0,8,2,0,0,1,0,0,0,0,0,1,0,0,0,0,17.909855136853043,60000000.0
3.0,3.0,8.0,2000.0,2.0,3,1,1,0,0,1,0,1,0,1,1,0,0,0,0,18.02763817065757,67500000.0
4.0,3.0,8.7,2000.0,2.0,3,1,0,0,1,1,0,1,0,1,0,0,0,0,0,17.565014657424058,42500000.0
5.0,3.0,22.0,2500.0,2.0,3,1,0,0,1,1,0,1,0,1,0,0,0,0,1,17.893048018819147,59000000.0
4.0,2.0,5.8,2000.0,2.0,3,1,0,0,1,1,0,1,0,0,0,0,0,0,0,16.97251102166758,23500000.0
3.0,1.0,22.5,1500.0,2.0,5,2,0,0,1,0,0,0,0,1,0,0,0,0,0,16.5563506464056,15500000.0
3.0,2.0,6.5,1280.0,2.0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,16.97251102166758,23500000.0
4.0,3.0,50.2,3000.0,2.0,3,1,0,0,1,1,0,1,0,0,0,0,0,0,0,18.72078534381011,135000000.0
5.0,4.0,22.0,7000.0,3.0,3,1,0,0,1,1,0,1,0,1,1,0,0,0,1,18.420680753952364,100000000.0
4.0,3.0,7.0,3200.0,2.0,3,1,1,0,1,1,0,1,0,0,0,0,0,0,0,18.05683732492351,69500000.0
2.0,2.0,9.0,1400.0,2.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,16.61887099947687,16500000.0
5.0,4.0,9.1,3000.0,2.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,17.479072229734946,39000000.0
3.0,2.0,7.0,1600.0,1.0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,16.860033043306743,21000000.0
3.0,4.0,3.5,1700.0,2.0,3,1,0,0,1,1,1,0,0,1,1,0,0,0,0,17.11134746100564,27000000.0
3.0,3.0,8.0,2000.0,2.0,3,1,1,0,1,1,0,1,0,1,1,0,0,0,0,18.02763817065757,67500000.0
5.0,3.0,6.0,2038.0,2.0,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,17.265498135541893,31500000.0
6.0,3.0,30.0,2500.0,2.0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,17.073607134447293,26000000.0
7.0,6.0,31.0,5000.0,2.0,3,1,0,0,1,1,0,1,0,0,0,0,0,0,0,18.72078534381011,135000000.0
4.0,3.0,8.5,3250.0,2.0,3,1,0,0,1,0,1,0,0,1,1,0,0,0,1,17.822843761378564,55000000.0
3.0,2.0,15.68,4000.0,2.0,14,3,0,0,1,0,0,0,0,0,0,0,0,0,0,17.341871111992198,34000000.0
6.0,3.0,15.3,2880.0,2.0,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,17.565014657424058,42500000.0
3.0,2.0,7.0,1650.0,2.0,3,1,0,0,1,0,0,0,0,1,1,0,1,0,0,17.19990085520835,29500000.0
4.0,3.0,27.0,3279.0,2.0,5,2,0,0,1,1,0,0,1,1,1,1,1,0,0,17.399029524198163,36000000.0
3.0,2.0,6.0,1235.0,2.0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,17.11134746100564,27000000.0
4.0,4.0,17.5,3500.0,2.0,3,1,0,0,1,1,0,1,0,1,0,0,0,0,0,18.05683732492351,69500000.0
2.0,1.0,7.0,1200.0,2.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,16.5563506464056,15500000.0
6.0,2.0,11.8,4500.0,2.0,3,1,0,0,1,1,0,0,0,1,0,0,1,0,1,17.8845373292961,58500000.0
5.0,3.0,10.5,6000.0,2.0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,17.822843761378564,55000000.0
3.0,2.0,4.5,1200.0,3.0,5,2,0,0,1,1,0,0,0,0,0,0,0,0,0,16.118095750958314,10000000.0
5.0,4.0,10.0,3000.0,2.0,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,17.553180200057167,42000000.0
3.0,1.0,11.0,1500.0,2.0,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,17.529082649058825,41000000.0
5.0,2.0,10.0,2938.0,2.0,3,1,0,0,1,1,0,1,0,0,0,0,0,0,0,17.439851517607305,37500000.0
4.0,3.0,12.6,2400.0,2.0,3,1,1,0,1,1,0,1,0,0,0,0,0,0,0,17.281246492014,32000000.0
5.0,5.0,6.2,3800.0,2.0,3,1,1,0,1,1,0,0,1,1,0,0,0,0,0,18.132998684833918,75000000.0
4.0,3.0,6.6,2030.0,2.0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17.206657637442962,29700000.0
3.0,2.0,2.5,750.0,2.0,8,2,0,0,1,1,0,0,0,0,0,0,0,0,0,16.066802461833923,9500000.0
